ab extra:from without
ab initio:from the beginning
actus reus:guilty act
actus non facit reum nisi mens sit rea:the act does not make a person guilty unless the mind is also guilty
ad coelum/cuius est solum: eius est usque ad caelum et ad inferos:for whoever owns the soil: it is theirs up to Heaven and down to Hell
ad colligenda bona:to collect the goods
ad damnum:According to the harm
ad hoc:for this
ad hominen:argument against the man
consensus ad idem:mutual assent
ad idem:mutual assent
ad infinitum:to infinity
ad litem:for the suit
administrator de bonis non cum testamento annexo:administrator of goods not administered with the will annexed
ad nauseam:repeated continuously or continuing to the point of boredom
Ad quod damnum:According to the harm
affidavit:declaration upon oath
alter ego:the other
a mensa et thoro:divorce a mensa et thoro; divorce from bed-and-board
amicus curiae:friend of the court
animus nocendi:animus-mind
ante:before
arguendo:for the sake of argument
a posteriori:after the fact
a priori:known ahead of time
argumentum a fortiori:even more so
argumentum ad hominem:argument against the man
audi alteram partem:hear the other side.
bona fide:good faith
bona fides:good faith
bona vacantia:vacant goods
cadit quaestio:the question falls
casus belli:act of war
caveat:beware
caveat lector:let the reader beware
caveat emptor:let the buyer beware
caveat venditor:let the seller beware
certiorari:to be shown
ceteris paribus:with other things the same
circa:around
clausula rebus sic stantibus:things thus standing
coitus interruptus:interrupted sexual intercourse prior to ejaculation
compos mentis:of sound mind
concensus facit legem:agreement makes the law
conditio sine qua non:a condition without which it could not be
contra ius commune:against common law
contra ius gentium:against the law of nations
confer:bring together
consuetudo est altera lex:custom is another law
consuetudo pro lege servatur:custom is kept before the law
consuetudo vincit communem legem:custom overrules the common law
contra:against
contradictio in terminus:contradiction in terms
contra bonos mores:against good morals
contradictio in adjecto:contradiction in terms; contradiction in itself
contra legem:against the law
contra proferentem:against the one bringing forth;
cor:In the presence of
coram:in the presence of
coram Deo:in the Presence of God
coram non judice:not in the presence of a judge
coram populo:openly
curator ad litem:legal representatives
corpus:body
corpus delicti:body of the offence
Corpus Iuris Canonici:Body of Canon Law
Corpus Iurus Civilus:Body of Civil Law
corpus vile:worthless body
corrigenda:things to be corrected
corruptio optimi pessima:the corruption of the best is the worst
corruptus in extremis:corrupt to the extreme
corruptissima re publica plurimae leges:when the republic is at its most corrupt the laws are most numerous
Credo in Unum Deum:I believe in One God
crimen laesae maiestatis:the crime of injured majesty
cucullus non facit monachum:the hood does not make the monk
cui bono:good for whom?
cui prodest:for whom it advances
cuius regio:whose region
eius religio:his religion
culpa:guilt
cum gladiis et fustibus:with swords and clubs
cum gladio et sale:with sword and salt
cum grano salis:with a grain of salt
cum hoc ergo prompter hoc:with this
cum laude:with praise
cum mortuis in lingua mortua:with the dead in a dead language
cura personalis:care for the whole person
cura te ipsum:take care of yourself first
curia advisari vult:the court wishes to be advised
curriculum vitae:course of life
custodia legis:in the custody of law
custos morum:censor
cygnus inter anates:swan among ducks
da mihi factum:give me the fact
dabo tibi ius:I will give you the law
damnatio memoriae:damnation of memory
damnum absque injuria:damage without injury
data venia:with due respect
de bonis asportatis:carrying goods away
de bonis non administratis:of goods not administered
de facto:concerning fact
defalcation:embezzlement
de fideli:with faithfulness
de futuro:regarding the future
de integrow:again
de jure:by right
de iure:in principle
de lege ferenda:from law to be passed
de lege lata:from law passed
de minimis non curat praetor:the commander does not bother with the smallest things
de nobis fabula narratur:about us is the story told
de novo:anew
dictum:statement of opinion
dicta:statement of opinions
dictum probium:judge's opinion
gratus dictum:court's opinion
judicial dictum:court's opinion
obiter dictum:something said in passing
simplex dictum:unaproved statement
doli incapax:incapable of deceit
dolus specialis:special intent
